Date,Open,High,Low,Close,Volume,Adj Close
2015-09-01,2556.00,2611.20,2530.00,2537.40,1493800,2486.701
2015-08-31,2590.00,2590.00,2531.05,2564.05,1846000,2512.819
2015-08-28,2609.00,2609.00,2557.70,2570.85,1372000,2519.483
2015-08-27,2614.90,2614.90,2545.80,2574.65,2632300,2523.207
2015-08-26,2558.05,2639.00,2511.95,2576.75,1608000,2525.265
2015-08-25,2587.90,2622.00,2535.50,2567.15,1962900,2515.857
2015-08-24,2639.00,2645.00,2569.10,2578.65,2346100,2527.127
2015-08-21,2712.00,2729.90,2655.10,2676.15,1768000,2622.679
2015-08-20,2745.00,2745.00,2672.00,2686.85,1174600,2633.165
2015-08-19,2750.00,2752.85,2721.90,2733.60,845000,2678.981
2015-08-18,2706.90,2749.90,2690.00,2740.90,958400,2686.135
2015-08-17,2690.10,2696.80,2655.00,2684.75,386800,2631.107
2015-08-14,2638.00,2719.35,2637.10,2703.20,1146900,2649.189
2015-08-13,2670.00,2684.00,2556.00,2635.60,703200,2582.939
2015-08-12,2603.10,2691.40,2602.00,2671.70,1739800,2618.318
2015-08-11,2578.00,2610.00,2542.10,2604.20,1100100,2552.167
2015-08-10,2572.00,2589.00,2556.60,2572.10,715500,2520.708
2015-08-07,2573.00,2573.00,2547.00,2552.05,594200,2501.059
2015-08-06,2565.00,2583.00,2550.10,2573.30,1105600,2521.884
2015-08-05,2520.00,2550.00,2511.00,2547.15,494400,2496.256
2015-08-04,2510.40,2523.00,2486.00,2508.90,1171300,2458.771
2015-08-03,2503.40,2525.00,2500.90,2509.60,589600,2459.457
2015-07-31,2489.90,2519.00,2487.00,2510.75,981800,2460.584
2015-07-30,2516.05,2516.80,2472.80,2480.65,1385200,2431.085
2015-07-29,2511.00,2515.05,2483.50,2506.75,1206600,2456.664
2015-07-28,2499.50,2519.00,2492.15,2502.05,945500,2452.058
2015-07-27,2488.00,2505.00,2481.15,2497.05,1001800,2447.158
2015-07-24,2497.50,2516.50,2492.10,2505.15,787400,2455.096
2015-07-23,2517.50,2537.85,2483.00,2488.60,748300,2438.876
2015-07-22,2561.00,2569.00,2521.05,2528.05,660300,2477.538
2015-07-21,2576.00,2600.35,2555.10,2561.40,637200,2510.222
2015-07-20,2564.00,2583.90,2551.90,2579.15,426800,2527.617
2015-07-17,2546.80,2570.10,2543.30,2564.40,535200,2507.772
2015-07-16,2543.70,2558.85,2526.60,2540.20,728300,2484.106
2015-07-15,2501.00,2549.95,2500.00,2545.75,1001800,2489.534
2015-07-14,2511.00,2515.00,2490.00,2499.50,851600,2444.305
2015-07-13,2475.40,2518.60,2475.40,2509.55,1140100,2454.133
2015-07-10,2559.00,2559.00,2455.00,2474.35,4131800,2419.71
2015-07-09,2595.00,2598.25,2506.65,2522.50,1967000,2466.797
2015-07-08,2597.95,2621.70,2580.50,2595.10,1333900,2537.794
2015-07-07,2632.75,2646.90,2603.00,2616.25,821400,2558.477
2015-07-06,2580.30,2645.00,2580.30,2633.30,591100,2575.15
2015-07-03,2573.05,2610.00,2570.00,2603.90,481700,2546.399
2015-07-02,2600.00,2602.95,2571.05,2577.75,722900,2520.827
2015-07-01,2563.90,2608.00,2556.75,2593.10,639800,2535.838
2015-06-30,2585.00,2588.75,2540.00,2550.95,774900,2494.619
2015-06-29,2572.00,2604.00,2543.40,2592.90,686300,2535.642
2015-06-26,2550.20,2596.35,2550.20,2592.80,645000,2535.545
2015-06-25,2562.00,2573.00,2544.15,2550.00,965400,2493.69
